aggregate_id,participant_key,current_producer,producer_kind,local_tables,current_outbox_or_dirty_mechanism,current_server_tables_or_rpc,delete_path,payload_version,conflict_policy,delete_policy,attachment_policy,current_cursor_kind,migration_owner_session,coverage_status,evidence_path,evidence_symbol,notes
INVENTORY_UNIT,inventory,inventory / SyncInventory,LEGACY_SYNC,inventory_units,full snapshot + DataStore deletion queue,inventory_units,DataStore pending unit deletion,1,OPTIMISTIC_VERSION,VERSIONED_DELETE,NONE,FULL_SNAPSHOT_OR_NO_CURSOR,307,DEFERRED_WITH_OWNER,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventory.kt,pushInventoryUnits|pushUnitDeletions|pullInventoryUnits,
INVOICE,invoices,invoices / financial_outbox + legacy invoice sync,LEGACY_SYNC,invoices|invoice_items|financial_outbox|financial_inbox,financial_outbox/financial_inbox + legacy dirty invoice path,invoices|invoice_items|financial_sync_apply_event_v1|financial_sync_pull_events_v1,pushInvoiceDeletions legacy + financial VOID/REVERSE target,1,SEMANTIC_COMMAND,VOID_OR_REVERSE,NONE,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,310,VERIFIED_STRONGER_EXISTING_CONTRACT,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInvoiceHeaders.kt|data/network/src/main/kotlin/com/verto/app/data/sync/SyncFinancialEvents.kt,pushInvoices|pushFinancialOutbox|pullFinancialInbox,Draft optimistic; Posted/Void/Reverse semantic command. Existing financial payload v1 preserved.
ITEM_CATEGORY,inventory,inventory / SyncInventory,LEGACY_SYNC,item_categories,legacy direct/snapshot sync,item_categories,NOT_SUPPORTED_BY_DOMAIN,1,OPTIMISTIC_VERSION,VERSIONED_DELETE,NONE,FULL_SNAPSHOT_OR_NO_CURSOR,307,DEFERRED_WITH_OWNER,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventory.kt,pushItemCategories|pullItemCategories,
NOTE,clients,clients / SyncMisc,LEGACY_SYNC,notes,legacy direct/snapshot sync,notes,no explicit remote delete in participant; owner 307,1,OPTIMISTIC_VERSION,VERSIONED_DELETE,NONE,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,307,DEFERRED_WITH_OWNER,data/network/src/main/kotlin/com/verto/app/data/sync/SyncMisc.kt,pushNotes|pullNotes,
NOTIFICATION,organization,organization / SyncNotifications,READ_ONLY,notification cache / server-owned,legacy direct/snapshot sync,get_my_notifications_cache,SERVER_OWNED,1,SERVER_AUTHORITATIVE,SERVER_OWNED,NONE,FULL_SNAPSHOT_OR_NO_CURSOR,308,READ_ONLY,data/network/src/main/kotlin/com/verto/app/data/sync/SyncNotifications.kt,pullNotifications,
OPTIMAL_FOLLOW_UP,optimal_outbox,optimal_outbox bridge,BRIDGE,optimal_maintenance_follow_ups|optimal_outbox,optimal_outbox bridge / server reference,optimal_sync_change_log|optimal_apply_sync_operation_v2|optimal_pull_sync_changes,NO_CLIENT_DELETE,1,BRIDGE_EXISTING_STRONGER_CONTRACT,NO_CLIENT_DELETE,NONE,SERVER_REVISION_REFERENCE_ONLY,310,SERVER_REFERENCE_ONLY,feature/integration/optimal/src/main/kotlin/com/verto/app/feature/integration/optimal/application/OptimalOutboxSyncParticipant.kt,OptimalOutboxSyncParticipant.syncOrganization,
OPTIMAL_MAINTENANCE,optimal_outbox,optimal_outbox bridge,BRIDGE,optimal_maintenance_records|optimal_maintenance_images|optimal_outbox,optimal_outbox durable lease/idempotency guard,optimal_sync_change_log|optimal_apply_sync_operation_v2|optimal_pull_sync_changes,NO_CLIENT_DELETE,1,BRIDGE_EXISTING_STRONGER_CONTRACT,NO_CLIENT_DELETE,METADATA_ONLY_EXTERNAL_BINARY,SERVER_REVISION_REFERENCE_ONLY,310,VERIFIED_STRONGER_EXISTING_CONTRACT,feature/integration/optimal/src/main/kotlin/com/verto/app/feature/integration/optimal/data/ContractGuardedOptimalOutboxEventExecutor.kt,MAINTENANCE_UPSERTED|execute,Existing Optimal durable outbox/lease/idempotency guard remains stronger than generic dirty sync.
OPTIMAL_VEHICLE,optimal_outbox,optimal_outbox bridge,BRIDGE,optimal_vehicles|optimal_outbox,optimal_outbox bridge / server reference,optimal_sync_change_log|optimal_apply_sync_operation_v2|optimal_pull_sync_changes,SERVER_OWNED,1,BRIDGE_EXISTING_STRONGER_CONTRACT,SERVER_OWNED,NONE,SERVER_REVISION_REFERENCE_ONLY,310,SERVER_REFERENCE_ONLY,feature/integration/optimal/src/main/kotlin/com/verto/app/feature/integration/optimal/application/OptimalOutboxSyncParticipant.kt,OptimalOutboxSyncParticipant.syncOrganization,Server path reference only until exact dump bytes are rebound.
ORGANIZATION_SETTINGS,organization,organization / OrgSettingsRepository,UI_REPOSITORY|BRIDGE,DataStore org settings,legacy direct/snapshot sync,organization_settings,NO_CLIENT_DELETE,1,OPTIMISTIC_VERSION,NO_CLIENT_DELETE,NONE,FULL_SNAPSHOT_OR_NO_CURSOR,307,DEFERRED_WITH_OWNER,app/src/main/kotlin/com/verto/app/feature/organization/bridge/OrganizationSyncParticipant.kt|data/operations/src/main/kotlin/com/verto/app/data/repository/Orgsettingsrepository.kt,OrganizationSyncParticipant.operations|saveOrgSettings|pushToSupabase,
PARTY_IDENTITY,clients,clients / Party normalized contract,LEGACY_SYNC,clients,party_sync_outbox + Party contract v2; legacy clients participant coexists,clients|verto_upsert_client_v1,legacy Party TOMBSTONE / unified DELETE mapping,2,BRIDGE_EXISTING_STRONGER_CONTRACT,TOMBSTONE,NONE,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,307,VERIFIED_STRONGER_EXISTING_CONTRACT,data/network/src/main/kotlin/com/verto/app/data/sync/PartySyncV2Contract.kt|data/network/src/main/kotlin/com/verto/app/data/sync/SyncClients.kt,PartyMutationV2|pushClients,Legacy Party TOMBSTONE maps to unified DELETE semantics; Party v2 remains unchanged.
PARTY_ROLE,clients,clients / Party normalized contract,LEGACY_SYNC,party_roles,party_sync_outbox + Party contract v2; legacy clients participant coexists,clients|verto_upsert_client_v1,legacy Party TOMBSTONE / unified DELETE mapping,2,BRIDGE_EXISTING_STRONGER_CONTRACT,TOMBSTONE,NONE,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,307,VERIFIED_STRONGER_EXISTING_CONTRACT,data/database/src/main/kotlin/com/verto/app/data/local/entity/PartyNormalizedEntities.kt|data/network/src/main/kotlin/com/verto/app/data/sync/PartySyncV2Contract.kt,PartyRoleEntity|PartyMutationV2,
PAYMENT,invoices,invoices / financial_outbox + payment sync,LEGACY_SYNC,payments|payment_allocations|realized_fx_events|financial_outbox|financial_inbox,financial_outbox/financial_inbox + legacy payment path,payments|payment_allocations|realized_fx_events|financial_sync_apply_event_v1,financial reversal command; no hard delete target,1,APPEND_ONLY_IDEMPOTENT,VOID_OR_REVERSE,NONE,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,310,VERIFIED_STRONGER_EXISTING_CONTRACT,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInvoicePayments.kt|data/network/src/main/kotlin/com/verto/app/data/sync/SyncFinancialEvents.kt,pushPayments|pushFinancialOutbox,
PRICE_LIST,organization,feature/inventory PriceListPresentationAdapter,UI_REPOSITORY,price_list_templates|price_list_template_items,sync_outbox,verto_sync_snapshot_state,unified outbox VERSIONED_DELETE,1,OPTIMISTIC_VERSION,VERSIONED_DELETE,NONE,SERVER_REVISION,376,VERIFIED_CURRENT,feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryPresentationAdapters.kt|supabase/migrations/20260829080000_v376_price_list_template_cutover.sql,PriceListPresentationAdapter.saveTemplate|PriceListPresentationAdapter.deleteTemplate,V376 template cutover; inventory owns live names/prices/stock; legacy copied-price tables retired.
PURCHASE_MATCH,invoices,invoices / purchase cycle,LEGACY_SYNC,purchase_invoice_matches|purchase_invoice_match_lines|purchase_invoice_receipt_allocations,legacy direct/snapshot sync,purchase_invoice_matches|purchase_invoice_match_lines|purchase_invoice_receipt_allocations|verto_purchase_cycle_push_post_v253,NO_CLIENT_DELETE,1,SEMANTIC_COMMAND,NO_CLIENT_DELETE,NONE,FULL_SNAPSHOT_OR_NO_CURSOR,310,DEFERRED_WITH_OWNER,data/network/src/main/kotlin/com/verto/app/data/sync/SyncPurchaseCycle.kt,pushPurchaseCyclePostInvoices|pullPurchaseCyclePostInvoices,
PURCHASE_ORDER,invoices,invoices / purchase cycle,LEGACY_SYNC,purchase_orders|purchase_order_lines,legacy direct/snapshot sync,purchase_orders|purchase_order_lines|verto_purchase_cycle_push_pre_v253,NOT_SUPPORTED_BY_DOMAIN,1,SERVER_STATE_MACHINE,CANCEL_STATE_TRANSITION,NONE,FULL_SNAPSHOT_OR_NO_CURSOR,307,DEFERRED_WITH_OWNER,data/network/src/main/kotlin/com/verto/app/data/sync/SyncPurchaseCycle.kt,pushPurchaseCyclePreInvoices|pullPurchaseCyclePreInvoices,
PURCHASE_PAYMENT_OVERRIDE,invoices,invoices / purchase cycle,LEGACY_SYNC,purchase_payment_overrides,legacy direct/snapshot sync,purchase_payment_overrides|verto_purchase_cycle_push_post_v253,NO_CLIENT_DELETE,1,SEMANTIC_COMMAND,NO_CLIENT_DELETE,NONE,FULL_SNAPSHOT_OR_NO_CURSOR,310,DEFERRED_WITH_OWNER,data/network/src/main/kotlin/com/verto/app/data/sync/SyncPurchaseCycle.kt,pushPurchaseCyclePostInvoices|pullPurchaseCyclePostInvoices,
REMINDER,clients,clients / SyncMisc,LEGACY_SYNC,client_reminders,legacy direct/snapshot sync,client_reminders,no explicit remote delete in participant; owner 307,1,OPTIMISTIC_VERSION,VERSIONED_DELETE,NONE,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,307,DEFERRED_WITH_OWNER,data/network/src/main/kotlin/com/verto/app/data/sync/SyncMisc.kt,pushReminders|pullReminders,
SHIPMENT,logistics-v2,logistics-v2 (hard-gated),DOMAIN_USE_CASE|LEGACY_SYNC,logistics_shipments|logistics_shipment_sources|logistics_shipment_lines|logistics_milestones|logistics_assignments|logistics_events|logistics_partners|logistics_shipment_legs|logistics_custody_handoffs|logistics_shipment_partner_links|logistics_transport_details|logistics_documents|logistics_costs|logistics_payments|logistics_route_templates|logistics_route_template_stops|logistics_receiving_batches|logistics_receiving_lines|logistics_inventory_postings|logistics_cost_allocations|logistics_shortages|logistics_recoveries|logistics_recovery_lines|logistics_recovery_postings,remote path inert behind SERVER_CONTRACT_VERIFIED=false,logistics_shipments|logistics_shipment_sources|logistics_shipment_lines|logistics_milestones|logistics_assignments|logistics_events|logistics_partners|logistics_shipment_legs|logistics_custody_handoffs|logistics_shipment_partner_links|logistics_transport_details|logistics_documents|logistics_costs|logistics_payments|logistics_route_templates|logistics_route_template_stops|logistics_receiving_batches|logistics_receiving_lines|logistics_inventory_postings|logistics_cost_allocations|logistics_shortages|logistics_recoveries|logistics_recovery_lines|logistics_recovery_postings,cancel state transition target; remote inactive,1,SERVER_STATE_MACHINE,CANCEL_STATE_TRANSITION,METADATA_ONLY_EXTERNAL_BINARY,INERT_NO_ACTIVE_REMOTE_CURSOR,307,INERT_BEHIND_GATE,feature/shipment/src/main/kotlin/com/verto/app/feature/shipment/data/sync/LogisticsV2SyncParticipant.kt|data/network/src/main/kotlin/com/verto/app/data/sync/SyncLogisticsV2.kt|data/network/src/main/kotlin/com/verto/app/data/remote/dto/LogisticsV2Dtos.kt,LogisticsV2SyncParticipant.key|SERVER_CONTRACT_VERIFIED|LOGISTICS_V2_TABLE_CONTRACTS,V303-PARTICIPANT-KEY-DRIFT-001 required=shipments actual=logistics-v2; SERVER_CONTRACT_VERIFIED=false; record only in 304.
SUPPLIER_PROFILE,clients,clients / Party normalized contract,LEGACY_SYNC,supplier_profiles,party_sync_outbox + Party contract v2; legacy clients participant coexists,clients|verto_upsert_client_v1,legacy Party TOMBSTONE / unified DELETE mapping,2,BRIDGE_EXISTING_STRONGER_CONTRACT,TOMBSTONE,NONE,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,307,VERIFIED_STRONGER_EXISTING_CONTRACT,data/database/src/main/kotlin/com/verto/app/data/local/entity/PartyNormalizedEntities.kt|data/network/src/main/kotlin/com/verto/app/data/sync/PartySyncV2Contract.kt,SupplierProfileEntity|PartyMutationV2,
