aggregate_id,server_business_paths,adapter_function,write_mode,version_authority,legacy_write_paths,legacy_capture_complete,change_append_function,snapshot_function,permission_check,delete_policy_enforced,status,evidence
OPTIMAL_VEHICLE,optimal_sync_change_log|optimal_apply_sync_operation_v2|optimal_pull_sync_changes,NONE_SESSION_310,DEFERRED_FAIL_CLOSED,STRONGER_STREAM_AUTHORITY_DEFERRED_310,optimal_sync_change_log|optimal_apply_sync_operation_v2|optimal_pull_sync_changes,false,N/A,N/A,OWNER_310_STRONGER_PERMISSION_DEFERRED,public.verto_validate_push_policy_v309,DEFERRED_STRONGER_STREAM_310,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
ORGANIZATION_SETTINGS,organization_settings,public.verto_apply_sync_adapter_v309,SHADOW_FAIL_CLOSED_NO_APPLIED,verto_sync_snapshot_state.entity_version; legacy writer capture incomplete,organization_settings,false,public.verto_append_sync_change,public.verto_upsert_sync_snapshot_state/public.verto_remove_sync_snapshot_state,active membership via verto_resolve_sync_scope; domain permission required before APPLIED,public.verto_validate_push_policy_v309,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
PARTY_IDENTITY,clients|verto_upsert_client_v1,public.verto_apply_sync_adapter_v309,SHADOW_FAIL_CLOSED_NO_APPLIED,stronger/domain server state authority required before runtime cutover,clients|verto_upsert_client_v1,false,public.verto_append_sync_change,public.verto_upsert_sync_snapshot_state/public.verto_remove_sync_snapshot_state,active membership via verto_resolve_sync_scope; domain permission required before APPLIED,public.verto_validate_push_policy_v309,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
PARTY_ROLE,clients|verto_upsert_client_v1,public.verto_apply_sync_adapter_v309,STRONGER_BRIDGE_FAIL_CLOSED_UNTIL_VERIFIED,party_sync_outbox.base_revision / stronger Party server revision; unified capture not verified,clients|verto_upsert_client_v1,false,public.verto_append_sync_change,public.verto_upsert_sync_snapshot_state/public.verto_remove_sync_snapshot_state,active membership + stronger Party permission required before APPLIED,public.verto_validate_push_policy_v309,PRESERVED_STRONGER_PARTY_BRIDGE,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
PAYMENT,payments|payment_allocations|realized_fx_events|financial_sync_apply_event_v1,NONE_SESSION_310,DEFERRED_FAIL_CLOSED,STRONGER_STREAM_AUTHORITY_DEFERRED_310,payments|payment_allocations|realized_fx_events|financial_sync_apply_event_v1,false,N/A,N/A,OWNER_310_STRONGER_PERMISSION_DEFERRED,public.verto_validate_push_policy_v309,DEFERRED_STRONGER_STREAM_310,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
PRICE_LIST,price_list_header|price_list_items,public.verto_apply_sync_adapter_v309,SHADOW_FAIL_CLOSED_NO_APPLIED,verto_sync_snapshot_state.entity_version; legacy writer capture incomplete,price_list_header|price_list_items,false,public.verto_append_sync_change,public.verto_upsert_sync_snapshot_state/public.verto_remove_sync_snapshot_state,active membership via verto_resolve_sync_scope; domain permission required before APPLIED,public.verto_validate_push_policy_v309,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
PURCHASE_MATCH,purchase_invoice_matches|purchase_invoice_match_lines|purchase_invoice_receipt_allocations|verto_purchase_cycle_push_post_v253,NONE_SESSION_310,DEFERRED_FAIL_CLOSED,STRONGER_STREAM_AUTHORITY_DEFERRED_310,purchase_invoice_matches|purchase_invoice_match_lines|purchase_invoice_receipt_allocations|verto_purchase_cycle_push_post_v253,false,N/A,N/A,OWNER_310_STRONGER_PERMISSION_DEFERRED,public.verto_validate_push_policy_v309,DEFERRED_STRONGER_STREAM_310,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
PURCHASE_ORDER,purchase_orders|purchase_order_lines|verto_purchase_cycle_push_pre_v253,public.verto_apply_sync_adapter_v309,SHADOW_FAIL_CLOSED_NO_APPLIED,stronger/domain server state authority required before runtime cutover,purchase_orders|purchase_order_lines|verto_purchase_cycle_push_pre_v253,false,public.verto_append_sync_change,public.verto_upsert_sync_snapshot_state/public.verto_remove_sync_snapshot_state,active membership via verto_resolve_sync_scope; domain permission required before APPLIED,public.verto_validate_push_policy_v309,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
PURCHASE_PAYMENT_OVERRIDE,purchase_payment_overrides|verto_purchase_cycle_push_post_v253,NONE_SESSION_310,DEFERRED_FAIL_CLOSED,STRONGER_STREAM_AUTHORITY_DEFERRED_310,purchase_payment_overrides|verto_purchase_cycle_push_post_v253,false,N/A,N/A,OWNER_310_STRONGER_PERMISSION_DEFERRED,public.verto_validate_push_policy_v309,DEFERRED_STRONGER_STREAM_310,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
REMINDER,client_reminders,public.verto_apply_sync_adapter_v309,SHADOW_FAIL_CLOSED_NO_APPLIED,verto_sync_snapshot_state.entity_version; legacy writer capture incomplete,client_reminders,false,public.verto_append_sync_change,public.verto_upsert_sync_snapshot_state/public.verto_remove_sync_snapshot_state,active membership via verto_resolve_sync_scope; domain permission required before APPLIED,public.verto_validate_push_policy_v309,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
SHIPMENT,logistics_shipments|logistics_shipment_sources|logistics_shipment_lines|logistics_milestones|logistics_assignments|logistics_events|logistics_partners|logistics_shipment_legs|logistics_custody_handoffs|logistics_shipment_partner_links|logistics_transport_details|logistics_documents|logistics_costs|logistics_payments|logistics_route_templates|logistics_route_template_stops|logistics_receiving_batches|logistics_receiving_lines|logistics_inventory_postings|logistics_cost_allocations|logistics_shortages|logistics_recoveries|logistics_recovery_lines|logistics_recovery_postings,public.verto_apply_sync_adapter_v309,SHADOW_FAIL_CLOSED_NO_APPLIED,stronger/domain server state authority required before runtime cutover,logistics_shipments|logistics_shipment_sources|logistics_shipment_lines|logistics_milestones|logistics_assignments|logistics_events|logistics_partners|logistics_shipment_legs|logistics_custody_handoffs|logistics_shipment_partner_links|logistics_transport_details|logistics_documents|logistics_costs|logistics_payments|logistics_route_templates|logistics_route_template_stops|logistics_receiving_batches|logistics_receiving_lines|logistics_inventory_postings|logistics_cost_allocations|logistics_shortages|logistics_recoveries|logistics_recovery_lines|logistics_recovery_postings,false,public.verto_append_sync_change,public.verto_upsert_sync_snapshot_state/public.verto_remove_sync_snapshot_state,active membership via verto_resolve_sync_scope; domain permission required before APPLIED,public.verto_validate_push_policy_v309,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
SUPPLIER_PROFILE,clients|verto_upsert_client_v1,public.verto_apply_sync_adapter_v309,SHADOW_FAIL_CLOSED_NO_APPLIED,stronger/domain server state authority required before runtime cutover,clients|verto_upsert_client_v1,false,public.verto_append_sync_change,public.verto_upsert_sync_snapshot_state/public.verto_remove_sync_snapshot_state,active membership via verto_resolve_sync_scope; domain permission required before APPLIED,public.verto_validate_push_policy_v309,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
