aggregate_id,migration_owner_session,conflict_policy,delete_policy,payload_version,local_outbox_source,producer_status_v307,server_paths,v309_server_adapter,server_version_authority,supported_push_operations,base_version_rule,idempotency_identity,request_hash_fields,change_append_behavior,snapshot_behavior,conflict_payload_behavior,client_push_status,legacy_server_write_capture_status,runtime_cutover_state,v309_status,evidence
EXPENSE,310,SEMANTIC_COMMAND,VOID_OR_REVERSE,1,specialized_owner310_or_legacy,MIGRATED_UNIFIED_OUTBOX,expenses,NONE_SESSION_310,STRONGER_STREAM_AUTHORITY_DEFERRED_310,DEFERRED_TO_310,DEFERRED_TO_310_STRONGER_SEMANTICS,STRONGER_STREAM_IDENTITY_DEFERRED_310,N/A_GENERIC_PUSH_BLOCKED,BLOCKED_BEFORE_GENERIC_APPLY,BLOCKED_BEFORE_GENERIC_APPLY,DEFERRED_TO_310,DEFERRED_STRONGER_STREAM_310,OWNER_310_NOT_MIGRATED,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPushRegistry.kt|20260821123000_v309_verto_unified_sync_push.sql|VERTO_SYNC_PRODUCER_COVERAGE_v307.csv
GOODS_RECEIPT,310,SEMANTIC_COMMAND,NO_CLIENT_DELETE,1,specialized_owner310_or_legacy,MIGRATED_UNIFIED_OUTBOX,goods_receipts|goods_receipt_lines|purchase_cycle_attachments|verto_purchase_cycle_push_pre_v253,NONE_SESSION_310,STRONGER_STREAM_AUTHORITY_DEFERRED_310,UPSERT|COMMAND,DEFERRED_TO_310_STRONGER_SEMANTICS,STRONGER_STREAM_IDENTITY_DEFERRED_310,N/A_GENERIC_PUSH_BLOCKED,BLOCKED_BEFORE_GENERIC_APPLY,BLOCKED_BEFORE_GENERIC_APPLY,DEFERRED_TO_310,DEFERRED_STRONGER_STREAM_310,OWNER_310_NOT_MIGRATED,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPushRegistry.kt|20260821123000_v309_verto_unified_sync_push.sql|VERTO_SYNC_PRODUCER_COVERAGE_v307.csv
INVENTORY_COST_REVISION,310,IMMUTABLE_REVISION,NO_CLIENT_DELETE,1,specialized_owner310_or_legacy,PRESERVED_STRONGER_OUTBOX,inventory_apply_cost_revisions_v2|inventory_pull_cost_revisions_v2,NONE_SESSION_310,STRONGER_STREAM_AUTHORITY_DEFERRED_310,UPSERT|COMMAND,DEFERRED_TO_310_STRONGER_SEMANTICS,STRONGER_STREAM_IDENTITY_DEFERRED_310,N/A_GENERIC_PUSH_BLOCKED,BLOCKED_BEFORE_GENERIC_APPLY,BLOCKED_BEFORE_GENERIC_APPLY,DEFERRED_TO_310,DEFERRED_STRONGER_STREAM_310,OWNER_310_NOT_MIGRATED,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPushRegistry.kt|20260821123000_v309_verto_unified_sync_push.sql|VERTO_SYNC_PRODUCER_COVERAGE_v307.csv
INVENTORY_ITEM,307,OPTIMISTIC_VERSION,ARCHIVE,1,sync_outbox,MIGRATED_UNIFIED_OUTBOX,inventory_items|archive_inventory_item_v2,verto_apply_sync_adapter_v309 (explicit fail-closed shadow boundary),verto_sync_snapshot_state.entity_version; legacy writer capture incomplete,UPSERT|ARCHIVE,null=create; exact current entity_version=update/delete; stale=>CONFLICT,organization_id + mutation_id,organization_id|mutation_id|aggregate_type|aggregate_id|operation_type|base_version|payload_version|canonical_jsonb_payload|command_batch_id|command_order|depends_on_mutation_id,verto_append_sync_change in APPLIED transaction; unreachable while v309 adapter fail-closed,verto_upsert/remove_sync_snapshot_state in APPLIED transaction; unreachable while v309 adapter fail-closed,authoritative snapshot payload + serverVersion; REQUIRES_REVIEW when stale under verified optimistic authority,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,INCOMPLETE_UNIFIED_LEGACY_CAPTURE,V2_OFF_LEGACY_DEFAULT,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,UnifiedSyncPushRegistry.kt|20260821123000_v309_verto_unified_sync_push.sql|VERTO_SYNC_PRODUCER_COVERAGE_v307.csv
INVENTORY_MOVEMENT,310,APPEND_ONLY_IDEMPOTENT,NO_CLIENT_DELETE,1,specialized_owner310_or_legacy,MIGRATED_UNIFIED_OUTBOX|PRESERVED_STRONGER_OUTBOX,inventory_apply_commands_v2|inventory_pull_movements_v2|inventory_prepare_reconciliation_batch_v2,NONE_SESSION_310,STRONGER_STREAM_AUTHORITY_DEFERRED_310,UPSERT|COMMAND,DEFERRED_TO_310_STRONGER_SEMANTICS,STRONGER_STREAM_IDENTITY_DEFERRED_310,N/A_GENERIC_PUSH_BLOCKED,BLOCKED_BEFORE_GENERIC_APPLY,BLOCKED_BEFORE_GENERIC_APPLY,DEFERRED_TO_310,DEFERRED_STRONGER_STREAM_310,OWNER_310_NOT_MIGRATED,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPushRegistry.kt|20260821123000_v309_verto_unified_sync_push.sql|VERTO_SYNC_PRODUCER_COVERAGE_v307.csv
INVENTORY_UNIT,307,OPTIMISTIC_VERSION,VERSIONED_DELETE,1,sync_outbox,MIGRATED_UNIFIED_OUTBOX,inventory_units,verto_apply_sync_adapter_v309 (explicit fail-closed shadow boundary),verto_sync_snapshot_state.entity_version; legacy writer capture incomplete,UPSERT|DELETE,null=create; exact current entity_version=update/delete; stale=>CONFLICT,organization_id + mutation_id,organization_id|mutation_id|aggregate_type|aggregate_id|operation_type|base_version|payload_version|canonical_jsonb_payload|command_batch_id|command_order|depends_on_mutation_id,verto_append_sync_change in APPLIED transaction; unreachable while v309 adapter fail-closed,verto_upsert/remove_sync_snapshot_state in APPLIED transaction; unreachable while v309 adapter fail-closed,authoritative snapshot payload + serverVersion; REQUIRES_REVIEW when stale under verified optimistic authority,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,INCOMPLETE_UNIFIED_LEGACY_CAPTURE,V2_OFF_LEGACY_DEFAULT,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,UnifiedSyncPushRegistry.kt|20260821123000_v309_verto_unified_sync_push.sql|VERTO_SYNC_PRODUCER_COVERAGE_v307.csv
INVOICE,310,SEMANTIC_COMMAND,VOID_OR_REVERSE,1,specialized_owner310_or_legacy,MIGRATED_UNIFIED_OUTBOX|PRESERVED_STRONGER_OUTBOX,invoices|invoice_items|financial_sync_apply_event_v1|financial_sync_pull_events_v1,NONE_SESSION_310,STRONGER_STREAM_AUTHORITY_DEFERRED_310,DEFERRED_TO_310,DEFERRED_TO_310_STRONGER_SEMANTICS,STRONGER_STREAM_IDENTITY_DEFERRED_310,N/A_GENERIC_PUSH_BLOCKED,BLOCKED_BEFORE_GENERIC_APPLY,BLOCKED_BEFORE_GENERIC_APPLY,DEFERRED_TO_310,DEFERRED_STRONGER_STREAM_310,OWNER_310_NOT_MIGRATED,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPushRegistry.kt|20260821123000_v309_verto_unified_sync_push.sql|VERTO_SYNC_PRODUCER_COVERAGE_v307.csv
ITEM_CATEGORY,307,OPTIMISTIC_VERSION,VERSIONED_DELETE,1,sync_outbox,MIGRATED_UNIFIED_OUTBOX,item_categories,verto_apply_sync_adapter_v309 (explicit fail-closed shadow boundary),verto_sync_snapshot_state.entity_version; legacy writer capture incomplete,UPSERT|DELETE,null=create; exact current entity_version=update/delete; stale=>CONFLICT,organization_id + mutation_id,organization_id|mutation_id|aggregate_type|aggregate_id|operation_type|base_version|payload_version|canonical_jsonb_payload|command_batch_id|command_order|depends_on_mutation_id,verto_append_sync_change in APPLIED transaction; unreachable while v309 adapter fail-closed,verto_upsert/remove_sync_snapshot_state in APPLIED transaction; unreachable while v309 adapter fail-closed,authoritative snapshot payload + serverVersion; REQUIRES_REVIEW when stale under verified optimistic authority,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,INCOMPLETE_UNIFIED_LEGACY_CAPTURE,V2_OFF_LEGACY_DEFAULT,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,UnifiedSyncPushRegistry.kt|20260821123000_v309_verto_unified_sync_push.sql|VERTO_SYNC_PRODUCER_COVERAGE_v307.csv
NOTE,307,OPTIMISTIC_VERSION,VERSIONED_DELETE,1,sync_outbox,MIGRATED_UNIFIED_OUTBOX,notes,verto_apply_sync_adapter_v309 (explicit fail-closed shadow boundary),verto_sync_snapshot_state.entity_version; legacy writer capture incomplete,UPSERT|DELETE,null=create; exact current entity_version=update/delete; stale=>CONFLICT,organization_id + mutation_id,organization_id|mutation_id|aggregate_type|aggregate_id|operation_type|base_version|payload_version|canonical_jsonb_payload|command_batch_id|command_order|depends_on_mutation_id,verto_append_sync_change in APPLIED transaction; unreachable while v309 adapter fail-closed,verto_upsert/remove_sync_snapshot_state in APPLIED transaction; unreachable while v309 adapter fail-closed,authoritative snapshot payload + serverVersion; REQUIRES_REVIEW when stale under verified optimistic authority,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,INCOMPLETE_UNIFIED_LEGACY_CAPTURE,V2_OFF_LEGACY_DEFAULT,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,UnifiedSyncPushRegistry.kt|20260821123000_v309_verto_unified_sync_push.sql|VERTO_SYNC_PRODUCER_COVERAGE_v307.csv
NOTIFICATION,308,SERVER_AUTHORITATIVE,SERVER_OWNED,1,NONE_SERVER_OWNED,REMOTE_APPLY_NO_ENQUEUE,get_my_notifications_cache,NONE_SERVER_OWNED,SERVER_AUTHORITY,UPSERT|DELETE,NO_CLIENT_MUTATION,N/A_SERVER_OWNED,N/A_GENERIC_PUSH_BLOCKED,SERVER_PRODUCER_ONLY,SERVER_PRODUCER_ONLY,NO_CLIENT_CONFLICT,SERVER_OWNED_NO_CLIENT_PUSH,SERVER_OWNED,V2_OFF_LEGACY_DEFAULT,SERVER_OWNED_NO_CLIENT_PUSH,UnifiedSyncPushRegistry.kt|20260821123000_v309_verto_unified_sync_push.sql|VERTO_SYNC_PRODUCER_COVERAGE_v307.csv
OPTIMAL_FOLLOW_UP,310,BRIDGE_EXISTING_STRONGER_CONTRACT,NO_CLIENT_DELETE,1,specialized_owner310_or_legacy,PRESERVED_STRONGER_OUTBOX,optimal_sync_change_log|optimal_apply_sync_operation_v2|optimal_pull_sync_changes,NONE_SESSION_310,STRONGER_STREAM_AUTHORITY_DEFERRED_310,UPSERT|COMMAND,DEFERRED_TO_310_STRONGER_SEMANTICS,STRONGER_STREAM_IDENTITY_DEFERRED_310,N/A_GENERIC_PUSH_BLOCKED,BLOCKED_BEFORE_GENERIC_APPLY,BLOCKED_BEFORE_GENERIC_APPLY,DEFERRED_TO_310,DEFERRED_STRONGER_STREAM_310,OWNER_310_NOT_MIGRATED,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPushRegistry.kt|20260821123000_v309_verto_unified_sync_push.sql|VERTO_SYNC_PRODUCER_COVERAGE_v307.csv
OPTIMAL_MAINTENANCE,310,BRIDGE_EXISTING_STRONGER_CONTRACT,NO_CLIENT_DELETE,1,specialized_owner310_or_legacy,PRESERVED_STRONGER_OUTBOX,optimal_sync_change_log|optimal_apply_sync_operation_v2|optimal_pull_sync_changes,NONE_SESSION_310,STRONGER_STREAM_AUTHORITY_DEFERRED_310,UPSERT|COMMAND,DEFERRED_TO_310_STRONGER_SEMANTICS,STRONGER_STREAM_IDENTITY_DEFERRED_310,N/A_GENERIC_PUSH_BLOCKED,BLOCKED_BEFORE_GENERIC_APPLY,BLOCKED_BEFORE_GENERIC_APPLY,DEFERRED_TO_310,DEFERRED_STRONGER_STREAM_310,OWNER_310_NOT_MIGRATED,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPushRegistry.kt|20260821123000_v309_verto_unified_sync_push.sql|VERTO_SYNC_PRODUCER_COVERAGE_v307.csv
OPTIMAL_VEHICLE,310,BRIDGE_EXISTING_STRONGER_CONTRACT,SERVER_OWNED,1,specialized_owner310_or_legacy,PRESERVED_STRONGER_OUTBOX,optimal_sync_change_log|optimal_apply_sync_operation_v2|optimal_pull_sync_changes,NONE_SESSION_310,STRONGER_STREAM_AUTHORITY_DEFERRED_310,UPSERT|DELETE,DEFERRED_TO_310_STRONGER_SEMANTICS,STRONGER_STREAM_IDENTITY_DEFERRED_310,N/A_GENERIC_PUSH_BLOCKED,BLOCKED_BEFORE_GENERIC_APPLY,BLOCKED_BEFORE_GENERIC_APPLY,DEFERRED_TO_310,DEFERRED_STRONGER_STREAM_310,OWNER_310_NOT_MIGRATED,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPushRegistry.kt|20260821123000_v309_verto_unified_sync_push.sql|VERTO_SYNC_PRODUCER_COVERAGE_v307.csv
ORGANIZATION_SETTINGS,307,OPTIMISTIC_VERSION,NO_CLIENT_DELETE,1,sync_outbox,CACHE_HYDRATION_NO_ENQUEUE|MIGRATED_UNIFIED_OUTBOX|REMOTE_APPLY_NO_ENQUEUE,organization_settings,verto_apply_sync_adapter_v309 (explicit fail-closed shadow boundary),verto_sync_snapshot_state.entity_version; legacy writer capture incomplete,UPSERT|COMMAND,null=create; exact current entity_version=update/delete; stale=>CONFLICT,organization_id + mutation_id,organization_id|mutation_id|aggregate_type|aggregate_id|operation_type|base_version|payload_version|canonical_jsonb_payload|command_batch_id|command_order|depends_on_mutation_id,verto_append_sync_change in APPLIED transaction; unreachable while v309 adapter fail-closed,verto_upsert/remove_sync_snapshot_state in APPLIED transaction; unreachable while v309 adapter fail-closed,authoritative snapshot payload + serverVersion; REQUIRES_REVIEW when stale under verified optimistic authority,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,INCOMPLETE_UNIFIED_LEGACY_CAPTURE,V2_OFF_LEGACY_DEFAULT,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,UnifiedSyncPushRegistry.kt|20260821123000_v309_verto_unified_sync_push.sql|VERTO_SYNC_PRODUCER_COVERAGE_v307.csv
PARTY_IDENTITY,307,BRIDGE_EXISTING_STRONGER_CONTRACT,TOMBSTONE,2,sync_outbox,MIGRATED_UNIFIED_OUTBOX|REMOTE_APPLY_NO_ENQUEUE,clients|verto_upsert_client_v1,verto_apply_sync_adapter_v309 (explicit fail-closed shadow boundary),stronger/domain server state authority required before runtime cutover,UPSERT|DELETE,domain/state-machine/bridge validation required server-side,organization_id + mutation_id,organization_id|mutation_id|aggregate_type|aggregate_id|operation_type|base_version|payload_version|canonical_jsonb_payload|command_batch_id|command_order|depends_on_mutation_id,verto_append_sync_change in APPLIED transaction; unreachable while v309 adapter fail-closed,verto_upsert/remove_sync_snapshot_state in APPLIED transaction; unreachable while v309 adapter fail-closed,authoritative snapshot payload + serverVersion; REQUIRES_REVIEW when stale under verified optimistic authority,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,INCOMPLETE_UNIFIED_LEGACY_CAPTURE,V2_OFF_LEGACY_DEFAULT,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,UnifiedSyncPushRegistry.kt|20260821123000_v309_verto_unified_sync_push.sql|VERTO_SYNC_PRODUCER_COVERAGE_v307.csv
PARTY_ROLE,307,BRIDGE_EXISTING_STRONGER_CONTRACT,TOMBSTONE,2,party_sync_outbox,PRESERVED_STRONGER_OUTBOX,clients|verto_upsert_client_v1,verto_apply_sync_adapter_v309 (fail-closed until stronger Party RPC signature/capture is verified),party_sync_outbox.base_revision / stronger Party server revision; unified capture not verified,COMMAND,base_revision -> baseVersion; server must verify stronger Party revision,organization_id + operation_id,organization_id|mutation_id|aggregate_type|aggregate_id|operation_type|base_version|payload_version|canonical_jsonb_payload|command_batch_id|command_order|depends_on_mutation_id,same unified RPC boundary after stronger adapter; v309 adapter returns no APPLIED,same transaction after accepted stronger adapter; v309 no APPLIED,stronger Party conflict table + server authoritative payload; fail-closed review,PRESERVED_STRONGER_PARTY_BRIDGE,INCOMPLETE_UNIFIED_LEGACY_CAPTURE,V2_OFF_LEGACY_DEFAULT,PRESERVED_STRONGER_PARTY_BRIDGE,UnifiedSyncPushRegistry.kt|20260821123000_v309_verto_unified_sync_push.sql|VERTO_SYNC_PRODUCER_COVERAGE_v307.csv
PAYMENT,310,APPEND_ONLY_IDEMPOTENT,VOID_OR_REVERSE,1,specialized_owner310_or_legacy,MIGRATED_UNIFIED_OUTBOX|PRESERVED_STRONGER_OUTBOX,payments|payment_allocations|realized_fx_events|financial_sync_apply_event_v1,NONE_SESSION_310,STRONGER_STREAM_AUTHORITY_DEFERRED_310,DEFERRED_TO_310,DEFERRED_TO_310_STRONGER_SEMANTICS,STRONGER_STREAM_IDENTITY_DEFERRED_310,N/A_GENERIC_PUSH_BLOCKED,BLOCKED_BEFORE_GENERIC_APPLY,BLOCKED_BEFORE_GENERIC_APPLY,DEFERRED_TO_310,DEFERRED_STRONGER_STREAM_310,OWNER_310_NOT_MIGRATED,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPushRegistry.kt|20260821123000_v309_verto_unified_sync_push.sql|VERTO_SYNC_PRODUCER_COVERAGE_v307.csv
